,Noise,Bhattacharyya_Coefficient,KullbackLeiber_Divergence
0,0.04359949021420038,0.9955370604083291,0.017577930268665783
1,0.0025926231827891333,0.9988413224122072,0.004633154271838817
2,0.05496624778787092,0.9946853923278979,0.021008454334708646
3,0.04353223926182769,0.9955420360678284,0.017557898993360375
4,0.0420367802087489,0.9956737356846793,0.01703782357277464
5,0.03303348210038742,0.9965013766411441,0.01391416064149713
6,0.020464863403784252,0.9971887705663516,0.011264537415616362
7,0.061927096635066375,0.9943823717807315,0.022207789661031433
8,0.029965467367452314,0.9967225669567471,0.013104710664326075
9,0.026682727510286663,0.9968819728570042,0.012511528240008249
10,0.062113383276929494,0.9943784292017097,0.022222405371109668
11,0.05291420942770391,0.9948135533433216,0.020491369603929773
12,0.013457994534493357,0.9978402381255449,0.008623257147330452
13,0.05135781212657464,0.9949218643092834,0.02005430032053539
14,0.01844398656469153,0.9973261175082582,0.010699365688700986
15,0.07853351478166735,0.9939608646116673,0.023770254685371556
16,0.08539752926394889,0.993899286360626,0.02397181678254273
17,0.04942368373819278,0.9950721729892503,0.019447298858616565
18,0.08465614853574681,0.9939020622719148,0.02396480913756266
19,0.0079645477009061,0.9984390826367564,0.006236678538412699
20,0.05507979025745755,0.9946632838539172,0.021110315118534093
21,0.07081478226181048,0.9942510247425251,0.022620041390830025
22,0.029090473891294433,0.9965361459084494,0.013721654814619035
23,0.051082760519766304,0.9948139176280799,0.0205240084522329
24,0.08929469543476548,0.9941100430541031,0.023102852528947705
25,0.0896293088933438,0.9941052200881858,0.02312134908950269
26,0.012558531046383626,0.997555967359676,0.00978915524021064
27,0.020724287813818677,0.9970767605576802,0.011722496689295338
28,0.005146720330082988,0.9981729148596515,0.007298653148037688
29,0.04408098436506365,0.9951831275788408,0.019045051984675737
30,0.0029876210878566956,0.9982946714520028,0.006811106928048964
31,0.04568332243947111,0.9950781721531089,0.019470199770738075
32,0.06491440476147607,0.9943712164033666,0.022186462273473234
33,0.02784872826479753,0.9966380472625818,0.01334272965724824
34,0.06762549019801313,0.9943115527820381,0.022402510384585766
35,0.059086281741635084,0.9945230301188099,0.021632606862116262
36,0.0023981882377165364,0.9983114143776647,0.006743241041348523
37,0.0558854087990882,0.9946327055712764,0.021226077806683466
38,0.025925244690746543,0.996771400557523,0.012856305325138108
39,0.041510119701006966,0.9953535917334964,0.018345951405266535
